#Wavel.	Extinct.
200.0000	1.90610000
220.0000	2.08390000
240.0000	2.16490000
260.0000	2.09320000
280.0000	1.78830000
300.0000	1.16860000
320.0000	0.29207000
340.0000	0.27363000
360.0000	0.33777000
380.0000	0.50714000
400.0000	1.01780000
420.0000	2.63050000
440.0000	24.86900000
460.0000	26.25200000
480.0000	2.67210000
500.0000	0.85391000
520.0000	0.42709000
540.0000	0.25138000
560.0000	0.16739000
580.0000	0.11703000
600.0000	0.08742700
620.0000	0.06755400
640.0000	0.05454300
660.0000	0.04424900
680.0000	0.03651600
700.0000	0.03106300
720.0000	0.02636100
740.0000	0.02292800
760.0000	0.02010300
780.0000	0.01753200
800.0000	0.01561100
820.0000	0.01397400
840.0000	0.01258300
860.0000	0.01138500
880.0000	0.01033900
900.0000	0.00943170
920.0000	0.00863270
940.0000	0.00801750
960.0000	0.00738340
980.0000	0.00681930
1000.0000	0.00638000
1020.0000	0.00592130
1040.0000	0.00556380
1060.0000	0.00518650
1080.0000	0.00488860
1100.0000	0.00461590
1120.0000	0.00432530
1140.0000	0.00409650
1160.0000	0.00388390
1180.0000	0.00368750
1200.0000	0.00350360
